city_name,city_id,latitude,longitude
Mont-Saint-Michel,0,48.6359541,-1.51146
Saint-Malo,1,48.649518,-2.0260409
Bayeux,2,49.2764624,-0.7024738
Le Havre,3,49.4938975,0.1079732
Rouen,4,49.4404591,1.0939658
Paris,5,48.8534951,2.3483915
Amiens,6,49.8941708,2.2956951
Lille,7,50.6365654,3.0635282
Strasbourg,8,48.584614,7.7507127
Haut-Koenigsbourg,9,48.2494107,7.3443202
Colmar,10,48.0777517,7.3579641
Eguisheim,11,48.0447968,7.3079618
Besancon,12,47.2380222,6.0243622
Dijon,13,47.3215806,5.0414701
Annecy,14,45.8992348,6.1288847
Grenoble,15,45.1875602,5.7357819
Lyon,16,45.7578137,4.8320114
Gorges du Verdon,17,43.7496562,6.3285616
Bormes-les-Mimosas,18,43.1506968,6.3419285
Cassis,19,43.2140359,5.5396318
Marseille,20,43.2961743,5.3699525
Aix-en-Provence,21,43.5298424,5.4474738
Avignon,22,43.9492493,4.8059012
Uzès,23,44.0121279,4.4196718
Nîmes,24,43.8374249,4.3600687
Aigues-Mortes,25,43.5661521,4.19154
Saintes-Maries-de-la-Mer,26,43.4515922,4.4277202
Collioure,27,42.52505,3.0831554
Carcassonne,28,43.2130358,2.3491069
Ariège,29,42.9455368,1.4065544
Toulouse,30,43.6044638,1.4442433
Montauban,31,44.0175835,1.3549991
Biarritz,32,43.4832523,-1.5592776
Bayonne,33,43.4945144,-1.4736657
La Rochelle,34,46.159732,-1.1515951
