city_id,city_name,dt,temp_day,humidity,wind,weather_main,rain,pop
0,Mont-Saint-Michel,2025-10-09,17.06,67,5.81,Clouds,0.0,0.0
0,Mont-Saint-Michel,2025-10-10,17.69,59,4.43,Clouds,0.0,0.0
0,Mont-Saint-Michel,2025-10-11,19.47,62,4.69,Clouds,0.0,0.0
0,Mont-Saint-Michel,2025-10-12,19.69,53,5.21,Clouds,0.0,0.0
0,Mont-Saint-Michel,2025-10-13,21.02,53,5.9,Clear,0.0,0.0
0,Mont-Saint-Michel,2025-10-14,18.04,53,7.05,Clouds,0.0,0.0
0,Mont-Saint-Michel,2025-10-15,17.55,55,6.39,Clear,0.0,0.0
0,Mont-Saint-Michel,2025-10-16,17.95,53,5.18,Clear,0.0,0.0
1,Saint-Malo,2025-10-09,16.16,72,5.09,Clouds,0.0,0.0
1,Saint-Malo,2025-10-10,16.47,71,6.38,Clouds,0.0,0.0
1,Saint-Malo,2025-10-11,17.27,71,6.99,Clouds,0.0,0.0
1,Saint-Malo,2025-10-12,17.76,65,7.78,Clouds,0.0,0.0
1,Saint-Malo,2025-10-13,19.15,63,9.09,Clear,0.0,0.0
1,Saint-Malo,2025-10-14,16.92,64,8.7,Clouds,0.0,0.0
1,Saint-Malo,2025-10-15,16.49,63,7.72,Clouds,0.0,0.0
1,Saint-Malo,2025-10-16,15.98,66,7.11,Clear,0.0,0.0
2,Bayeux,2025-10-09,16.45,74,4.45,Clouds,0.0,0.01
2,Bayeux,2025-10-10,16.91,65,4.13,Clouds,0.0,0.0
2,Bayeux,2025-10-11,17.33,67,5.5,Clouds,0.0,0.0
2,Bayeux,2025-10-12,17.27,63,7.31,Clouds,0.0,0.0
2,Bayeux,2025-10-13,18.27,63,8.12,Clear,0.0,0.0
2,Bayeux,2025-10-14,15.99,63,8.61,Clouds,0.0,0.0
2,Bayeux,2025-10-15,15.71,63,6.93,Clouds,0.0,0.02
2,Bayeux,2025-10-16,15.61,66,5.37,Clouds,0.0,0.0
3,Le Havre,2025-10-09,16.5,73,5.04,Rain,0.36,1.0
3,Le Havre,2025-10-10,16.37,74,5.64,Clouds,0.0,0.0
3,Le Havre,2025-10-11,17.14,67,7.03,Clouds,0.0,0.0
3,Le Havre,2025-10-12,17.79,63,7.17,Clouds,0.0,0.0
